Variable;Código;Etiqueta
Mupocu;0116;Villa Canales
Mupocu;0117;Petapa
Mupocu;0201;Guastatoya
Mupocu;0202;Morazán
Mupocu;0203;San Agustín Acasaguastlán
Mupocu;0204;San Cristóbal Acasaguastlán
Mupocu;0205;El Jícaro
Mupocu;0206;Sansare
Mupocu;0207;Sanarate
Mupocu;0208;San Antonio la Paz
Mupocu;0301;Antigua Guatemala
Mupocu;0302;Jocotenango
Mupocu;0303;Pastores
Mupocu;0304;Sumpango
Mupocu;0305;Santo Domingo Xenacoj
Mupocu;0306;Santiago Sacatepéquez
Mupocu;0307;San Bartolomé Milpas Altas
Mupocu;0308;San Lucas Sacatepéquez
Mupocu;0309;Santa Lucía Milpas Altas
Mupocu;0310;Magdalena Milpas Altas
Mupocu;0311;Santa María de Jesús
Mupocu;0312;Ciudad Vieja
Mupocu;0313;San Miguel Dueñas
Mupocu;0314;Alotenango
Mupocu;0315;San Antonio Aguas Calientes
Mupocu;0316;Santa Catarina Barahona
Mupocu;0401;Chimaltenango
Mupocu;0402;San José Poaquil
Mupocu;0403;San Martín Jilotepeque
Mupocu;0404;Comalapa
Mupocu;0405;Santa Apolonia
Mupocu;0406;Tecpán Guatemala
Mupocu;0407;Patzún
Mupocu;0408;Pochuta
Mupocu;0409;Patzicía
Mupocu;0410;Santa Cruz Balanyá
Mupocu;0411;Acatenango
Mupocu;0412;Yepocapa
Mupocu;0413;San Andrés Itzapa
Mupocu;0414;Parramos
Mupocu;0415;Zaragoza
Mupocu;0416;El Tejar
Mupocu;0501;Escuintla
Mupocu;0502;Santa Lucía Cotzumalguapa
Mupocu;0503;La Democracia
Mupocu;0504;Siquinalá
Mupocu;0505;Masagua
Mupocu;0506;Tiquisate
Mupocu;0507;La Gomera
Mupocu;0508;Guanagazapa
Mupocu;0509;San José
Mupocu;0510;Iztapa
Mupocu;0511;Palín
Mupocu;0512;San Vicente Pacaya
Mupocu;0513;Nueva Concepción
Mupocu;0601;Cuilapa
Mupocu;0602;Barberena
Mupocu;0603;Santa Rosa de Lima
Mupocu;0604;Casillas
Mupocu;0605;San Rafael las Flores
Mupocu;0606;Oratorio
Mupocu;0607;San Juan Tecuaco
Mupocu;0608;Chiquimulilla
Mupocu;0609;Taxisco
Mupocu;0610;Santa María Ixhuatán
Mupocu;0611;Guazacapán
Mupocu;0612;Santa Cruz Naranjo
Mupocu;0613;Pueblo Nuevo Viñas
Mupocu;0614;Nueva Santa Rosa
Mupocu;0701;Sololá
Mupocu;0702;San José Chacayá
Mupocu;0703;Santa María Visitación
Mupocu;0704;Santa Lucía Utatlán
Mupocu;0705;Nahualá
Mupocu;0706;Santa Catarina Ixtahuacán
Mupocu;0707;Santa Clara la Laguna
Mupocu;0708;Concepción
Mupocu;0709;San Andrés Semetabaj
Mupocu;0710;Panajachel
Mupocu;0711;Santa Catarina Palopó
Mupocu;0712;San Antonio Palopó
Mupocu;0713;San Lucas Tolimán
Mupocu;0714;Santa Cruz la Laguna
Mupocu;0715;San Pablo la Laguna
Mupocu;0716;San Marcos la Laguna
Mupocu;0717;San Juan la Laguna
Mupocu;0718;San Pedro la Laguna
Mupocu;0719;Santiago Atitlán
Mupocu;0801;Totonicapán
Mupocu;0802;San Cristóbal Totonicapán
Mupocu;0803;San Francisco el Alto
Mupocu;0804;San Andrés Xecul
Mupocu;0805;Momostenango
Mupocu;0806;Santa María Chiquimula
Mupocu;0807;Santa Lucía la Reforma
Mupocu;0808;San Bartolo
Mupocu;0901;Quetzaltenango
Mupocu;0902;Salcajá
Mupocu;0903;Olintepeque
Mupocu;0904;San Carlos Sija
Mupocu;0905;Sibilia
Mupocu;0906;Cabricán
Mupocu;0907;Cajolá
Mupocu;0908;San Miguel Siguilá
Mupocu;0909;Ostuncalco
Mupocu;0910;San Mateo
Mupocu;0911;Concepción Chiquirichapa
Mupocu;0912;San Martín Sacatepéquez
Mupocu;0913;Almolonga
Mupocu;0914;Cantel
Mupocu;0915;Huitán
Mupocu;0916;Zunil
Mupocu;0917;Colomba
Mupocu;0918;San Francisco la Unión
Mupocu;0919;El Palmar
Mupocu;0920;Coatepeque
Mupocu;0921;Génova
Mupocu;0922;Flores Costa Cuca
Mupocu;0923;La Esperanza
Mupocu;0924;Palestina de los Altos
Mupocu;1001;Mazatenango
Mupocu;1002;Cuyotenango
Mupocu;1003;San Francisco Zapotitlán
Mupocu;1004;San Bernardino
Mupocu;1005;San José el Idolo
Mupocu;1006;Santo Domingo Suchitepéquez
Mupocu;1007;San Lorenzo
Mupocu;1008;Samayac
Mupocu;1009;San Pablo Jocopilas
Mupocu;1010;San Antonio Suchitepéquez
Mupocu;1011;San Miguel Panán
Mupocu;1012;San Gabriel
Mupocu;1013;Chicacao
Mupocu;1014;Patulul
Mupocu;1015;Santa Bárbara
Mupocu;1016;San Juan Bautista
Mupocu;1017;Santo Tomás la Unión
Mupocu;1018;Zunilito
Mupocu;1019;Pueblo Nuevo
Mupocu;1020;Río Bravo
Mupocu;1101;Retalhuleu
Mupocu;1102;San Sebastián
Mupocu;1103;Santa Cruz Muluá
Mupocu;1104;San Martín Zapotitlán
Mupocu;1105;San Felipe
Mupocu;1106;San Andrés Villa Seca
Mupocu;1107;Champerico
Mupocu;1108;Nuevo San Carlos
Mupocu;1109;El Asintal
Mupocu;1201;San Marcos
Mupocu;1202;San Pedro Sacatepéquez
Mupocu;1203;San Antonio Sacatepéquez
Mupocu;1204;Comitancillo
Mupocu;1205;San Miguel Ixtahuacán
Mupocu;1206;Concepción Tutuapa
Mupocu;1207;Tacaná
Mupocu;1208;Sibinal
Mupocu;1209;Tajumulco
Mupocu;1210;Tejutla
Mupocu;1211;San Rafael Pié de la Cuesta
Mupocu;1212;Nuevo Progreso
Mupocu;1213;El Tumbador
Mupocu;1214;El Rodeo
Mupocu;1215;Malacatán
Mupocu;1216;Catarina
Mupocu;1217;Ayutla
Mupocu;1218;Ocós
Mupocu;1219;San Pablo
Mupocu;1220;El Quetzal
Mupocu;1221;La Reforma
Mupocu;1222;Pajapita
Mupocu;1223;Ixchiguán
Mupocu;1224;San José Ojetenán
Mupocu;1225;San Cristóbal Cucho
Mupocu;1226;Sipacapa
Mupocu;1227;Esquipulas Palo Gordo
Mupocu;1228;Río Blanco
Mupocu;1229;San Lorenzo
Mupocu;1301;Huehuetenango
